Author,Book,School District,State,IN P DOC,Notes,"Challenge/Complaint Status

",Status,"Status Notes - See ""By School District"" Tab for More Detail",Details of Restriction,Where Did I find the book or discover the resource,Have You Read Or Examined the Entire Resource,Location in School District,Published,# Copies Total In District,Date Challenged,clustered_book
"Silvera, Adam",Infinity son,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,MS / HS,,Infinity son
"Silvera, Adam",Infinity son,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2020,,,Infinity son
"Silvera, Adam",Infinity son,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2020,5,,Infinity son
"Shepard, Sara",Influence,Tennessee,Collierville Schools,Yes,ONE,no challenge,back on shelves probably,,,,,,,,,Influence
"Johnshon, Chelsea",Intersection Allies,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,,Intersection Allies
"Brewer, Z",Into the real,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2020,2,,Into the real
"Krakakauer, John",Into the Wild,Union County Public Schools,North Carolina,n/a,,Informal Challenge,challenged in board meeting - more to the teacher talking abourt white privilege,,,,,,,,,Into the Wild
"Walton, Jessica",Introducing Teddy,Carmel  Clay Schools,Indiana,yes,These two books were part of the complaint and part of the effort on the advisory committee to search for and they announced that they were not found - I think it's important but it might not be important to count here.,no,n/a,Challenged - but never in Carmel Clay Scvhools,,,,,,,,Introducing Teddy
"Walton, Jessica",Introducing Teddy: A Gentle Story about Gender and Friendship,Prosper ISD,Texas,,,yes,Challenged - Prob. on shelvesa,Complaint Filed - status unclear,,,,,,4,,Introducing Teddy
"Jewell, Lisa",Invisible GIrl,Wentzville,Missouri,yes,,yes,removed,per ACLU Lawsuit,,,,,,,,Invisible GIrl
,"Invisible Man Got the Whole World Watching, A Young Black Man’s Education",Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,,"Invisible Man Got the Whole World Watching, A Young Black Man’s Education"
"Smith, Mychal
 Denzel","Invisible man, got the
 whole world watching : a
 young black man's
 education",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2016,2,,"Invisible Man Got the Whole World Watching, A Young Black Man’s Education"
"Varela, Nina",Iron Heart (Crier's War Series),Tennessee,Collierville Schools,Yes,THREE,no challenge,back on shelves probably,,,,,,,,,Iron Heart (Crier's War Series)
"van Rijckeghem, Jean-Claude","Ironhead, or Once a Young Lady",Fauquier County Public Schools,Virgina,n/a,,Informal Challenge,probably on shelves,,,,,,,,,"Ironhead, or Once a Young Lady"
"Diaz, Junot",Islandborn,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,,Islandborn
,Islandborn,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,,Islandborn
"Diaz, Junot",Islandborn,Duval County Public Schools,Florida,yes,1/20/22,No Challenge Filed,In storage until review was complete,,,,,,,,,Islandborn
"Dumas, Firozeh","It Ain't So Awful, Falafel",Duval County Public Schools,Florida,yes,1/20/22,No Challenge Filed,In storage until review was complete,,,,,,,,,"It Ain't So Awful, Falafel"
"Maclear, Kyo",It Began with a Page,Duval County Public Schools,Florida,yes,1/20/22,No Challenge Filed,In storage until review was complete,,,,,,,,,It Began with a Page
"Pinsky, Drew","It Doesn't Have to Be Awkward: Dealing with Relationships, Consent, and Other Hard-to-Talk-About Stuff",Tennessee,Collierville Schools,Yes,FIVE,no challenge,removed,,,,,,,,,"It Doesn't Have to Be Awkward: Dealing with Relationships, Consent, and Other Hard-to-Talk-About Stuff"
"Thorn, Theresa",It Feels Good To Be Yourself,St. Johns County School District,Florida,n/a,5/22,Formal Challenge Filed,Location Unknown,,,,,,,,,It Feels Good To Be Yourself
"Thorn, Theresa",It Feels Good To Be Yourself,Collier County Public Schools,Florida,TBD,FLCA,No Challenge Filed,Parental Advisory label added in Feb 2022,January 2022,,,,,,,,It Feels Good To Be Yourself
"Thorn, Theresa",It Feels Good To Be Yourself,Westfield Washington Schools,Indiana,no becuase don't know if they were removed during challenge,9/2021,yes,retained,"Challenged, reviewed, retained",,,,,,,Spring 2021,It Feels Good To Be Yourself
"Thorn, Theresa",It Feels Good To Be Yourself -  A Book About Gender Identity,Rockwood,Missouri,YES,,Formal Challenged Filed,"Retained with ""restrictions""",Flag in DESTINY alerting library to follow up with teacher counselor orf parent to ensure a trusted adult is aware the child may have questions or want to discuss the book.,,,,,,,,It Feels Good To Be Yourself
"Savage, Dan","It Gets Better: Coming Out, Overcoming Bullying, and Creating a Life Worth Living",Klein ISD,Texas,yes,,Informal Challenge,removed while under investigation.,,,,,,,,,"It Gets Better: Coming Out, Overcoming Bullying, and Creating a Life Worth Living"
"Savage, Dan","It Gets Better: Coming Out, Overcoming Bullying, and Creating a Life Worth Living",Tennessee,Collierville Schools,Yes,ONE,no challenge,back on shelves probably,,,,,,,,,"It Gets Better: Coming Out, Overcoming Bullying, and Creating a Life Worth Living"
"Moreland, Miel ",It Goes Like This,Tennessee,Collierville Schools,Yes,THREE,no challenge,back on shelves probably,,,,,,,,,It Goes Like This
"Sugiura, Misa",It's Not Like It's a Secret,Tennessee,Collierville Schools,Yes,TWO,no challenge,back on shelves probably,,,,,,,,,It's Not Like It's a Secret
"Sugiura, Misa",It's Not Like It's a Secret,Collier County Public Schools,Florida,TBD,FLCA,No Challenge Filed,Parental Advisory label added in Feb 2022,January 2022,,,,,,,,It's Not Like It's a Secret
"Sugiura, Misa",It's not like it's a secret,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,HS,,It's Not Like It's a Secret
"Sugiura, Misa",It's not like it's a secret,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2017,3,,It's Not Like It's a Secret
"Harris, Robie H.","It's not the stork! : a book
 about girls, boys, babies,
 bodies, families, and
 friends",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2006,3,,"It's not the stork! : a book
 about girls, boys, babies,
 bodies, families, and
 friends"
"Tharp, Jason",It's Okay To Be A Unicorn,Buckeye Valley Local Schools,Ohio,,author not allowed to read,Informal Challenge,Unclear - appears he can present now j- with national publicity,,,,,,,,,It's Okay To Be A Unicorn
"Peters, Julie Anne","It's our prom (so deal with
 it)",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2013,1,,"It's our prom (so deal with
 it)"
"Haris, RObie",It's Perfectly Normal,Oconomowoc Area School District,Wisconsin,yes,involved in LAWSUIT,Formal Challenge Filed,removed after complaint,This book was also available through the digital library app.,,,,,,,,"It's perfectly normal : a book about changing bodies, growing up, sex, and sexual health"
"Harris, Robie",It's Perfectly Normal,Hillsborough,Florida,n/a,,Informal Challenge,Complaints only in board meeting,,,,,,,,,"It's perfectly normal : a book about changing bodies, growing up, sex, and sexual health"
"Harris, Robie",It's Perfectly Normal,Polk County Schools,Florida,yes,,no,removed,"Removed - in ""quarantine"" until status determined.",RETAINED HS MS,,,,,1,,"It's perfectly normal : a book about changing bodies, growing up, sex, and sexual health"
"Harris, Robie H.","It's Perfectly normal : a book about changing bodies, growing up, sex, and sexual health",School Administrative District 6,Maine,n/a,,Formal Challenge Filed,appealed - now in hands of board. probably still on shelves,,,,,,,,,"It's perfectly normal : a book about changing bodies, growing up, sex, and sexual health"
"Haris, Robie","It's perfectly normal : a book about changing bodies, growing up, sex, and sexual health",Walton County School District,Florida,yes,,No Challenge Filed,REMOVED BY ADMINISTRATION,,,,,,,,,"It's perfectly normal : a book about changing bodies, growing up, sex, and sexual health"
"Harris, Robie H.","It's Perfectly normal : a book about changing bodies, growing up, sex, and sexual health",Pinellas School District,Florida,,2022-23 school year,"Reviewed in ""normal"" process",recommended for removal - individual book status left to principals,,,,,,,,,"It's perfectly normal : a book about changing bodies, growing up, sex, and sexual health"
"Haris, Robie","It's perfectly normal : a book about changing bodies, growing up, sex, and sexual health",Birdville,Texas,yes,,yes,Status of Book Unknown,emailed parent 11/21,,my child checked out the book and brought it home,yes,,,,,"It's perfectly normal : a book about changing bodies, growing up, sex, and sexual health"
"Harris, Robie H.","It's perfectly normal : a book about changing bodies, growing up, sex, and sexual health",Holmen,WI,,,yes,RETAINED,Returned to shelves after challenge,,,,,,,,"It's perfectly normal : a book about changing bodies, growing up, sex, and sexual health"
"Harris, Robie H.","It's perfectly normal : a book about changing bodies, growing up, sex, and sexual health",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2004,1,,"It's perfectly normal : a book about changing bodies, growing up, sex, and sexual health"
"Harris, Robie H.","It's perfectly normal : a book about changing bodies, growing up, sex, and sexual health",York,Maine,,,,,,,,,,,,,"It's perfectly normal : a book about changing bodies, growing up, sex, and sexual health"
"Harris, Robie H.","It's perfectly normal : a book about changing bodies, growing up, sex, and sexual health 1994 VERSION",Carmel  Clay Schools,Indiana,yes,"We'll call this the ""third way"" schools can choose to deal with troublesome books. I'd love to see the advisory committee notes on these decisions. BUT IS THIS SOMETHING YOU WANT COUNTED. ",no,removed,"Removed due to ""age and lack of interest from students""",,,,,,,,"It's perfectly normal : a book about changing bodies, growing up, sex, and sexual health"
"Harris, Robie H.","It's perfectly normal : a book about changing bodies, growing up, sex, and sexual health 2014 vERSION",Carmel  Clay Schools,Indiana,yes,,no,Restricted Permanently,,"AT Elementary School - moved to 'RESOURCE LIBRARY"" WHICH IS A COLLECTION ACCESSIBLE BY TEACHERS AND PARENTS TO REACH WITH CHILDREN",,,,,,,"It's perfectly normal : a book about changing bodies, growing up, sex, and sexual health"
"Haris, Robie H.","It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Nampa School District,Idaho,yes,"committee recommended further review, not immediate censorship",Informal Challenge,banned,,,,,,,,,"It's perfectly normal : a book about changing bodies, growing up, sex, and sexual health"
"Blake, Ashley
 Herring","Ivy Aberdeen's letter to the
 world",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2019,18,,Ivy Aberdeen's Letter to the World
"Blake, Ashley Herring",Ivy Aberdeen's Letter to the World,Duval County Public Schools,Florida,yes,1/20/22,No Challenge Filed,In storage until review was complete,,,,,,,,,Ivy Aberdeen's Letter to the World
"Blake, Ashley Herring",Ivy Aberdeen's letter to the world,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,MS,,Ivy Aberdeen's Letter to the World
"Cornwall, Gaia",Jabari Jumps,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,,Jabari Jumps
"Homes, A. M.",Jack,Tennessee,Collierville Schools,Yes,ONE,no challenge,back on shelves probably,,,,,,,,,Jack
"Homes, AM",Jack,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,1990,,,Jack
"Silverman, Erica",Jack (Not Jackie),Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,,Jack (Not Jackie)
"Rosen, LC",Jack of Hearts (and Other Parts),Frisco ISD,Texas,yes,March 2022,Informal Challenge,Pulled immediately when school heard parent complaints,,,,,,,,,Jack of Hearts and Other Parts
"Rosen, LC",Jack of Hearts (and Other Parts),Frisco ISD,Texas,yes,,Informal Challenge,Banned all places,,,,,,,,,Jack of Hearts and Other Parts
"Rosen, LC",Jack of Hearts (and Other Parts),Clear Creek ISD,Texas,yes,1/2022,No Challenge Filed,Banned,Internal Audit,,,,,,,,Jack of Hearts and Other Parts
"Rosen, LC",Jack of Hearts (and Other Parts),Cypress-Fairbanks,Texas,yes,12/2021,No Challenge Filed,Banned,Saw it was happening at other districts,,,,,,,,Jack of Hearts and Other Parts
"Rosen, LC",Jack of Hearts and Other Parts,Kent School District,Washington,yes,,no,Banned,Removed by Principal,,,,,,#REF!,,Jack of Hearts and Other Parts
"Rosen, LC",Jack of Hearts and Other Parts,Killeen ISD,Texas,,April 2022,No Challenge Filed,REMOVED BY ADMINISTRATION,,,,,,,,,Jack of Hearts and Other Parts
"Rosen, LC",Jack of Hearts and Other Parts,Katy,Texas,yes,BANNED - Master Katy List 11/2021 by board,unclear,Banned,"Permanently Removed for containing ""pervasively vulgar content""",,,,,,,,Jack of Hearts and Other Parts
"Rosen, LC",Jack of Hearts and Other Parts,Birdville,Texas,yes,,yes,Status of Book Unknown,Emailed 3 requests 11/21,,,no,,,,,Jack of Hearts and Other Parts
"Rosen, LC",Jack of Hearts and Other Parts,Keller,Texas,yes,"New addition to challenge website: ""Book Challenge committee decisions to keep books in a library do not authorize future purchases of the book(s)",yes,banned,Pulled from District/Circulation,,Challenge originated: Parent,yes,,,,11/4/21,Jack of Hearts and Other Parts
"Rosen, LC",Jack of Hearts and Other Parts,Lamar Consolidated ISD,Texas,yes,newspaper had to do an open records request to get the book list,yes,Removed,Pulled from shelves,,,,,,,,Jack of Hearts and Other Parts
"Rosen, LC",Jack of Hearts and Other Parts,Yorktown Central School District,New York,n/a,,yes,Books were taken from the MS and HS for members of the committee to read - but were not made unavailable.,Books were taken from the MS and HS for members of the committee to read - but were not made unavailable.,,Yorktown High School,,,,,,Jack of Hearts and Other Parts
"Hoffman, Sarah",Jacob's New Dress,Omaha Public School District,Nebraska,not yet,,Informal Challenge,"under a ""watch""",Tax payer watch dog preparing challenge and school board considering how to review library and classroom policies,,,,,,,,Jacob's New Dress
"Hoffman, Sarah",Jacob's new dress,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2014,1,,Jacob's New Dress
"Hoffman, Sarah",Jacob's room to choose,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2019,1,,Jacob's room to choose
"Dumas, Marti",Jaden Toussaint the Greatest,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,,Jaden Toussaint the Greatest
"Newman, Lesléa",Jailbait,Fredericksburg ISD,Texas,yes,,Formal Challenge Filed Maybe?,"Removed - ""Pervasely Vulgar""",,,,,,,,,Jailbait
"Blumenthal,
 Karen","Jane against the world :
 Roe v. Wade and the fight
 for reproductive rights",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2020,5,,"Jane against the world :
 Roe v. Wade and the fight
 for reproductive rights"
"Blumenthal, Karen",Jane against the world : Roe v. Wade and the fight for reproductive rights,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,HS,,"Jane against the world :
 Roe v. Wade and the fight
 for reproductive rights"
"Cashore, Kristin","Jane, Unlimited",Tennessee,Collierville Schools,Yes,ONE,no challenge,back on shelves probably,,,,,,,,,"Jane, unlimited"
"Cashore, Kristin","Jane, unlimited",McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,HS,,"Jane, unlimited"
"Cashore, Kristin","Jane, unlimited",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2017,6,,"Jane, unlimited"
"Florence, Debbi Michiko",Jasmine Toguchi (series),Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,,Jasmine Toguchi (series)
"Michiko, Debbie",Jasmine Toguchi (series),Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,,Jasmine Toguchi (series)
"Florence, Debbi Michiko","Jasmine Toguchi, Flamingo Keeper",Duval County Public Schools,Florida,yes,1/20/22,No Challenge Filed,In storage until review was complete,,,,,,,,,"Jasmine Toguchi, Flamingo Keeper"
"June, Jason",Jay's Gay Agenda,Tennessee,Collierville Schools,Yes,FOUR,no challenge,back on shelves maybe,,,,,,,,,Jay's Gay Agenda
"Patel, Sonia",Jaya and Rasa,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,HS,,Jaya and Rasa
"Patel, Sonia",Jaya and Rasa,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2017,1,,Jaya and Rasa
"Clark, Kristin
 Elizabeth","Jess, Chunk, and the road
 trip to infinity",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2016,2,,"Jess, Chunk, and the road
 trip to infinity"
"Scheeres, Julia",Jesus Land: A Memoir,Brevard County Public Schools,Florida,yes,List 4,End run around challenge process,in quarentine,challenged awaiting review,,,,,,,,Jesus Land: A Memoir
"Scheeres, Julia",Jesus Land: A Memoir,Fredericksburg ISD,Texas,yes,,Formal Challenge Filed Maybe?,"Removed - ""Pervasely Vulgar""",,,,,,,,,Jesus Land: A Memoir
"Scheeres, Julia",Jesus Land: A Memoir,Carmel  Clay Schools,Indiana,yes,,no,removed,unclear,,,,,,,,Jesus Land: A Memoir
"Scheeres, Julia",Jesus Land: A Memoir,Collier County Public Schools,Florida,TBD,FLCA,No Challenge Filed,Parental Advisory label added in Feb 2022,January 2022,,,,,,,,Jesus Land: A Memoir
,Johnny Appleseed,Williamson County Schools,Tennessee,,,yes,Retained,Challenge (includes a challenge to the larger ELA curriculum) - Committee recommended continued use,,Second Grade,,,,,,Johnny Appleseed
"Gorzone, Joseph",Joshua and the City,Indian River County Schools,Florida,yes,Status Change: 2/28/22,unclear,RETURNED - FL as 5/2022,Temporarily removed while under review,,,,,,,,Joshua and the City
,Journey of a Pioneer,Williamson County Schools,Tennessee,,,yes,Retained,Challenge (includes a challenge to the larger ELA curriculum) - Committee recommended continued use,,Second Grade,,,,,,Journey of a Pioneer
"Medina, Juana",Juana & Lucas,Duval County Public Schools,Florida,yes,1/20/22,No Challenge Filed,In storage until review was complete,,,,,,,,,Juana & Lucas
"Love, Jessica",Julián at the wedding,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,ES,,Julián at the wedding
"Love, Jessica",Julián at the wedding,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2020,1,,Julián at the wedding
"Love, Jessica",Julian is a Mermaid,Prince William County public Schools,Virginia,na,never off shelves,Formal Challenge Filed,Retained,,,,,,,,,Julian is a Mermaid
"Love, Jessica",Julian is a Mermaid,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,,Julian is a Mermaid
"Love, Jessica",Julian is a Mermaid,Collier County Public Schools,Florida,TBD,FLCA,No Challenge Filed,Parental Advisory label added in Feb 2022,January 2022,,,,,,,,Julian is a Mermaid
"Love, Jessica",Julian is a Mermaid,Duval County Public Schools,Florida,yes,1/20/22,No Challenge Filed,In storage until review was complete,,,,,,,,,Julian is a Mermaid
,Juliet Takes a Breath,Union Academy,North Carolina,,,Formal Challenge Filed,Probably on shelves,,,,,,,,,Juliet Takes a Breath
"Rivera, Gabby",Juliet Takes a Breath,Fredericksburg ISD,Texas,yes,,Formal Challenge Filed Maybe?,rermoved while under review,,,,,,,,,Juliet Takes a Breath
"Rivera, Gabby",Juliet Takes a Breath,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,,Juliet Takes a Breath
"Rivera, Gabby",Juliet Takes a Breath,Savannah-Chatham County Public School SYstem,Georgia,n/a,,Informal Challenge,,,,,,,,,,Juliet Takes a Breath
"Rivera, Gabby",Juliet Takes a Breath,Forsyth County Schools,Georgia,yes,Parents complained - but did not file formal complaints,No,"Removed ""administratively""",1/31/22 Removed from all FCS schools indefinitively,,"""pervasively vulgar"" ",,,,1,,Juliet Takes a Breath
"Rivera, Gabby",Juliet takes a breath,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,MS,,Juliet Takes a Breath
"Rivera, Gabby",Juliet takes a breath,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2019,1,,Juliet Takes a Breath
"Knowles, Jo",Jumping Off Swings (Jumping Off Swings Series),Fredericksburg ISD,Texas,yes,,Formal Challenge Filed Maybe?,rermoved while under review,,,,,,,,,Jumping Off Swings (Jumping Off Swings Series)
"Hyde, Catherine Ryan",Jumpstart the world,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,HS,,Jumpstart the world
"Hyde, Catherine
 Ryan",Jumpstart the world,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2010,1,,Jumpstart the world
"Santana, Sol",Just Ash,Tennessee,Collierville Schools,Yes,THREE,no challenge,back on shelves probably,,,,,,,,,Just Ash
"Selzer, Adam",Just kill me,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2016,2,,Just kill me
"Benwell, Fox",Kaleidoscope song,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2017,1,,Kaleidoscope song
"Albertalli, Becky",Kate in Waiting,Tennessee,Collierville Schools,Yes,THREE,no challenge,back on shelves probably,,,,,,,,,Kate in Waiting
"Tarbox, Katherine",Katie.Com,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,MS,,Katie.Com
"Thomson, Melissa",Keena Ford and the Second Grade Mix-Up,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,,Keena Ford and the Second Grade Mix-Up
"Peters, Julie Anne",Keeping You a Secret,Keller,Texas,n/a,"New addition to challenge website: ""Book Challenge committee decisions to keep books in a library do not authorize future purchases of the book(s)",yes,weeded,This title has been deselected according to our collection development processes and is no longer in any classroom or school libraries,,Challenge originated: Parent,yes,,,,1/13/22,Keeping You a Secret
"Peters, Julie Anne","Keeping you a secret : a
 novel",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2003,3,,Keeping You a Secret
"Bode, Janet",Kids still having kids : talking about teen pregnancy,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,HS,,Kids still having kids : talking about teen pregnancy
"Duncan, Louis",Killing Mr. Griffin,St. Lucie Public Schools,Florida,,did NOT read whole book,Formal Challenge Filed,Pulled temporary for review,December 2021,Submitted by Dale Galiano,,,,,,,Killing Mr. Griffin
"Duncan, Lois",Killing Mr. Griffin,Lee County School,Florida,yes,Received info from FCA - also formed ADHOC committee,no,RETAINED,Challenged in Board Public Comments,,,,,,,,Killing Mr. Griffin
"Duncan, Lois",Killing Mr. Griffin,Jackson County School Board,Florida,yes,,No Challenge Filed,Removed,per order of Superintendent after receiving FCA mailing,,,,,,,,Killing Mr. Griffin
"Duncan, Lois",Killing Mr. Griffin,Walton County School District,Florida,yes,Actually removed,No Challenge Filed,REMOVED BY ADMINISTRATION,,,,,,,,,Killing Mr. Griffin
"Duncan, Lois",Killing Mr. Griffin,Indian River County Schools,Florida,yes,Status Change: 2/28/22,unclear,RETURNED - FL as 5/2022,Temporarily removed while under review,,,,,,,,Killing Mr. Griffin
"Duncan, Louis",Killing Mr. Griffin,Pleasant Valley School District,Pennsylvania,yes,,,were removed from shelves - accessible by parent permission,,,,,,,,,Killing Mr. Griffin
"Callender, Kacen",King and Dragonflies,Keller,Texas,yes,"New addition to challenge website: ""Book Challenge committee decisions to keep books in a library do not authorize future purchases of the book(s)",yes,RETAINED 4/1/22,"Challenge Date: March 9, 2022",,Challenge originated: Parent,yes,,,,11/17/21,King and Dragonflies
"Butler, Dori Hillestad",King and Kayla (series),Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,,King and Kayla (series)
"Callender, Kacen",King of the Dragon Flies,Indian River County Schools,Florida,yes,Status Change: 2/28/22,unclear,RETURNED - FL as 5/2022,Temporarily removed while under review,,,,,,,,King of the Dragon Flies
"Boteju, Tanya","Kings, Queens, and In Betweens",Prosper ISD,Texas,,,yes,Challenged - Prob. on shelvesa,Complaint Filed - status unclear,,,,,,1,,"Kings, Queens, and In Betweens"
"Boteju, Tanya","Kings, Queens, and In-Betweens",Tennessee,Collierville Schools,Yes,THREE,no challenge,back on shelves probably,,,,,,,,,"Kings, Queens, and In Betweens"
,Kiss Me Kill Me,Littlestown Area School District,Pennsylvania,n/a,,Formal Challenge Filed,Committee recommends no change and all resources/books should remain in the library,,,,,,,,,Kiss Me Kill Me
"Venable, Colleen AF",Kiss Number 8,Leander,Texas,,20.21 Leander Curr Review RESULTs for 21.22,yes,Retained,,,,,,,,,Kiss number 8
"Venable, Colleen A. F.",Kiss number 8,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,HS,,Kiss number 8
"Venable, Colleen
 A. F.",Kiss number 8,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2019,8,,Kiss number 8
"Hoole, Elissa Janine",Kiss the morning star,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,HS,,Kiss the morning star
"Myracle, Lauren",Kissing Kate,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2007,2,,Kissing Kate
,Kite Runner,Bedford County School District,Virginia,yes,February 2022,"Board member asked for review for ""concerning content",Retained,,,,,,,,,Kite Runner
"Hosseini, Khaled",Kite Runner,Madison County Schools,Mississippi,yes,,Informal Challenge,In Restriction While Under Reviuew,Requires parent permission,RETAINED HS ONLY (7/2022),,,,,,,Kite Runner
,Kite Runner,Birdville,Texas,yes,complaint incorrectly identified author - Mariko Tamaki,yes,Status of Book Unknown,emailed parent 11/21,,moms in the community,no,,,,,Kite Runner
"Beaty, Daniel",Knock Knock: My Dad's Dream for Me,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,,Knock Knock: My Dad's Dream for Me
"Martin Jr., Bill",Knots on a Counting Rope,Duval County Public Schools,Florida,yes,1/20/22,No Challenge Filed,In storage until review was complete,,,,,,,,,Knots on a Counting Rope
"Myracle, Lauren",l84 g84,McKinney,Texas,,,Challenged,Retained,"Mom's concern was that her 4th grader could still check it out - the books are not in the elementary, moddle schools and are not available. Apparnetly the 4th grader checked iit outin the high school library because Mom was with her and the librarian considered it defacto permission - non verbal",,,,,,,,l84 g84
"Myracle, Lauren",L8R G8R,Indian River County Schools,Florida,yes,Status Change: 2/28/22,unclear,RETURNED - FL as 5/2022,Temporarily removed while under review,,,,,,,,"l8r, g8r"
"Myracle, Lauren","l8r, g8r",Catawba County Schools,North Carolina,n/a,,Formal Challenge Filed,Probably on shelves,,,,,,,,,"l8r, g8r"
"Myracle, Lauren","l8r, g8r",Cumberland Valley School District,Pennsylvania,yes,,Formal Challenge Filed,Still on shelves - BUT political pressure,,,,,,,,,"l8r, g8r"
